idx,band_index,band_name,band_letter,channel,frequency,power_value,power_label,lb_us,ub_us,center_us
0,1,"BOSCAM_A","A",1,3000,0,"25",500,506,503
1,1,"BOSCAM_A","A",1,3000,1,"200",507,512,509
2,1,"BOSCAM_A","A",1,3000,2,"500",513,518,515
3,1,"BOSCAM_A","A",1,3000,3,"1W",519,525,522
4,1,"BOSCAM_A","A",1,3000,4,"3W",526,531,528
5,1,"BOSCAM_A","A",2,3030,0,"25",532,537,534
6,1,"BOSCAM_A","A",2,3030,1,"200",538,543,540
7,1,"BOSCAM_A","A",2,3030,2,"500",544,550,547
8,1,"BOSCAM_A","A",2,3030,3,"1W",551,556,553
9,1,"BOSCAM_A","A",2,3030,4,"3W",557,562,559
10,1,"BOSCAM_A","A",3,3060,0,"25",563,568,565
11,1,"BOSCAM_A","A",3,3060,1,"200",569,575,572
12,1,"BOSCAM_A","A",3,3060,2,"500",576,581,578
13,1,"BOSCAM_A","A",3,3060,3,"1W",582,587,584
14,1,"BOSCAM_A","A",3,3060,4,"3W",588,594,591
15,1,"BOSCAM_A","A",4,3090,0,"25",595,600,597
16,1,"BOSCAM_A","A",4,3090,1,"200",601,606,603
17,1,"BOSCAM_A","A",4,3090,2,"500",607,612,609
18,1,"BOSCAM_A","A",4,3090,3,"1W",613,619,616
19,1,"BOSCAM_A","A",4,3090,4,"3W",620,625,622
20,1,"BOSCAM_A","A",5,3120,0,"25",626,631,628
21,1,"BOSCAM_A","A",5,3120,1,"200",632,637,634
22,1,"BOSCAM_A","A",5,3120,2,"500",638,644,641
23,1,"BOSCAM_A","A",5,3120,3,"1W",645,650,647
24,1,"BOSCAM_A","A",5,3120,4,"3W",651,656,653
25,1,"BOSCAM_A","A",6,3150,0,"25",657,663,660
26,1,"BOSCAM_A","A",6,3150,1,"200",664,669,666
27,1,"BOSCAM_A","A",6,3150,2,"500",670,675,672
28,1,"BOSCAM_A","A",6,3150,3,"1W",676,681,678
29,1,"BOSCAM_A","A",6,3150,4,"3W",682,688,685
30,1,"BOSCAM_A","A",7,3180,0,"25",689,694,691
31,1,"BOSCAM_A","A",7,3180,1,"200",695,700,697
